61795 61800 61798 61809  60.0 2.5
61800 61798 61809 61805 -60.0 2.5
61798 61809 61805 61801  60.0 2.5
61809 61805 61801 61795 -60.0 2.5
61805 61801 61795 61800  60.0 2.5
61801 61795 61800 61798 -60.0 2.5
61927 61932 61930 61944  60.0 2.5
61932 61930 61944 61937 -60.0 2.5
61930 61944 61937 61933  60.0 2.5
61944 61937 61933 61927 -60.0 2.5
61937 61933 61927 61932  60.0 2.5
61933 61927 61932 61930 -60.0 2.5
62062 62067 62065 62076  60.0 2.5
62067 62065 62076 62072 -60.0 2.5
62065 62076 62072 62068  60.0 2.5
62076 62072 62068 62062 -60.0 2.5
62072 62068 62062 62067  60.0 2.5
62068 62062 62067 62065 -60.0 2.5
62194 62199 62197 62211  60.0 2.5
62199 62197 62211 62204 -60.0 2.5
62197 62211 62204 62200  60.0 2.5
62211 62204 62200 62194 -60.0 2.5
62204 62200 62194 62199  60.0 2.5
62200 62194 62199 62197 -60.0 2.5
62329 62334 62332 62343  60.0 2.5
62334 62332 62343 62339 -60.0 2.5
62332 62343 62339 62335  60.0 2.5
62343 62339 62335 62329 -60.0 2.5
62339 62335 62329 62334  60.0 2.5
62335 62329 62334 62332 -60.0 2.5
62351 62355 62353 62363  60.0 2.5
62355 62353 62363 62360 -60.0 2.5
62353 62363 62360 62356  60.0 2.5
62363 62360 62356 62351 -60.0 2.5
62360 62356 62351 62355  60.0 2.5
62356 62351 62355 62353 -60.0 2.5
62371 62375 62373 62389  60.0 2.5
62375 62373 62389 62386 -60.0 2.5
62373 62389 62386 62376  60.0 2.5
62389 62386 62376 62371 -60.0 2.5
62386 62376 62371 62375  60.0 2.5
62376 62371 62375 62373 -60.0 2.5
62398 62402 62400 62411  60.0 2.5
62402 62400 62411 62407 -60.0 2.5
62400 62411 62407 62403  60.0 2.5
62411 62407 62403 62398 -60.0 2.5
62407 62403 62398 62402  60.0 2.5
62403 62398 62402 62400 -60.0 2.5
62423 62426 62424 62434 -60.0 2.5
62426 62424 62434 62430  60.0 2.5
62424 62434 62430 62427 -60.0 2.5
62434 62430 62427 62423  60.0 2.5
62430 62427 62423 62426 -60.0 2.5
62427 62423 62426 62424  60.0 2.5
62566 62571 62569 62583  60.0 2.5
62571 62569 62583 62576 -60.0 2.5
62569 62583 62576 62572  60.0 2.5
62583 62576 62572 62566 -60.0 2.5
62576 62572 62566 62571  60.0 2.5
62572 62566 62571 62569 -60.0 2.5
62701 62706 62704 62718  60.0 2.5
62706 62704 62718 62711 -60.0 2.5
62704 62718 62711 62707  60.0 2.5
62718 62711 62707 62701 -60.0 2.5
62711 62707 62701 62706  60.0 2.5
62707 62701 62706 62704 -60.0 2.5
62836 62841 62839 62850  60.0 2.5
62841 62839 62850 62846 -60.0 2.5
62839 62850 62846 62842  60.0 2.5
62850 62846 62842 62836 -60.0 2.5
62846 62842 62836 62841  60.0 2.5
62842 62836 62841 62839 -60.0 2.5
62968 62973 62971 62982  60.0 2.5
62973 62971 62982 62978 -60.0 2.5
62971 62982 62978 62974  60.0 2.5
62982 62978 62974 62968 -60.0 2.5
62978 62974 62968 62973  60.0 2.5
62974 62968 62973 62971 -60.0 2.5
63100 63105 63103 63114  60.0 2.5
63105 63103 63114 63110 -60.0 2.5
63103 63114 63110 63106  60.0 2.5
63114 63110 63106 63100 -60.0 2.5
63110 63106 63100 63105  60.0 2.5
63106 63100 63105 63103 -60.0 2.5
63232 63237 63235 63246  60.0 2.5
63237 63235 63246 63242 -60.0 2.5
63235 63246 63242 63238  60.0 2.5
63246 63242 63238 63232 -60.0 2.5
63242 63238 63232 63237  60.0 2.5
63238 63232 63237 63235 -60.0 2.5
63364 63369 63367 63381  60.0 2.5
63369 63367 63381 63374 -60.0 2.5
63367 63381 63374 63370  60.0 2.5
63381 63374 63370 63364 -60.0 2.5
63374 63370 63364 63369  60.0 2.5
63370 63364 63369 63367 -60.0 2.5
63499 63504 63502 63513  60.0 2.5
63504 63502 63513 63509 -60.0 2.5
63502 63513 63509 63505  60.0 2.5
63513 63509 63505 63499 -60.0 2.5
63509 63505 63499 63504  60.0 2.5
63505 63499 63504 63502 -60.0 2.5
63521 63525 63523 63533  60.0 2.5
63525 63523 63533 63530 -60.0 2.5
63523 63533 63530 63526  60.0 2.5
63533 63530 63526 63521 -60.0 2.5
63530 63526 63521 63525  60.0 2.5
63526 63521 63525 63523 -60.0 2.5
63541 63545 63543 63559  60.0 2.5
63545 63543 63559 63556 -60.0 2.5
63543 63559 63556 63546  60.0 2.5
63559 63556 63546 63541 -60.0 2.5
63556 63546 63541 63545  60.0 2.5
63546 63541 63545 63543 -60.0 2.5
63568 63572 63570 63581  60.0 2.5
63572 63570 63581 63577 -60.0 2.5
63570 63581 63577 63573  60.0 2.5
63581 63577 63573 63568 -60.0 2.5
63577 63573 63568 63572  60.0 2.5
63573 63568 63572 63570 -60.0 2.5
63593 63596 63594 63604 -60.0 2.5
63596 63594 63604 63600  60.0 2.5
63594 63604 63600 63597 -60.0 2.5
63604 63600 63597 63593  60.0 2.5
63600 63597 63593 63596 -60.0 2.5
63597 63593 63596 63594  60.0 2.5
63736 63741 63739 63750  60.0 2.5
63741 63739 63750 63746 -60.0 2.5
63739 63750 63746 63742  60.0 2.5
63750 63746 63742 63736 -60.0 2.5
63746 63742 63736 63741  60.0 2.5
63742 63736 63741 63739 -60.0 2.5
63868 63873 63871 63885  60.0 2.5
63873 63871 63885 63878 -60.0 2.5
63871 63885 63878 63874  60.0 2.5
63885 63878 63874 63868 -60.0 2.5
63878 63874 63868 63873  60.0 2.5
63874 63868 63873 63871 -60.0 2.5
64003 64008 64006 64017  60.0 2.5
64008 64006 64017 64013 -60.0 2.5
64006 64017 64013 64009  60.0 2.5
64017 64013 64009 64003 -60.0 2.5
64013 64009 64003 64008  60.0 2.5
64009 64003 64008 64006 -60.0 2.5
64135 64140 64138 64149  60.0 2.5
64140 64138 64149 64145 -60.0 2.5
64138 64149 64145 64141  60.0 2.5
64149 64145 64141 64135 -60.0 2.5
64145 64141 64135 64140  60.0 2.5
64141 64135 64140 64138 -60.0 2.5
64267 64272 64270 64284  60.0 2.5
64272 64270 64284 64277 -60.0 2.5
64270 64284 64277 64273  60.0 2.5
64284 64277 64273 64267 -60.0 2.5
64277 64273 64267 64272  60.0 2.5
64273 64267 64272 64270 -60.0 2.5
64402 64407 64405 64416  60.0 2.5
